date,hors,u,v,ws,wd,wf1
2009-07-01 00:00:00,1,2.34,-0.79,2.47,108.68,0.085
2009-07-01 01:00:00,1,2.34,-0.79,2.47,108.68,0.085
2009-07-01 02:00:00,2,2.18,-0.99,2.4,114.31,0.02
2009-07-01 03:00:00,3,2.2,-1.21,2.51,118.71,0.06
2009-07-01 04:00:00,4,2.35,-1.4,2.73,120.86,0.045
2009-07-01 05:00:00,5,2.53,-1.47,2.93,120.13,0.035
2009-07-01 06:00:00,6,2.66,-1.29,2.96,115.79,0.005
2009-07-01 07:00:00,7,2.69,-0.81,2.81,106.71,0
2009-07-01 08:00:00,8,2.72,-0.26,2.73,95.39,0
2009-07-01 09:00:00,9,2.87,0.08,2.87,88.5,0.01
2009-07-01 10:00:00,10,3.23,-0.01,3.23,90.19,0.025
2009-07-01 11:00:00,11,3.65,-0.33,3.66,95.15,0.03
2009-07-01 12:00:00,12,3.89,-0.6,3.94,98.71,0.01
2009-07-01 13:00:00,13,3.82,-0.59,3.86,98.85,0
2009-07-01 14:00:00,14,3.54,-0.35,3.56,95.62,0.01
2009-07-01 15:00:00,15,3.26,0.05,3.26,89.11,0
2009-07-01 16:00:00,16,3.11,0.51,3.15,80.78,0
2009-07-01 17:00:00,17,3.09,0.87,3.21,74.33,0
2009-07-01 18:00:00,18,3.13,0.97,3.28,72.75,0.005
2009-07-01 19:00:00,19,3.19,0.72,3.27,77.29,0
2009-07-01 20:00:00,20,3.17,0.21,3.18,86.2,0
2009-07-01 21:00:00,21,2.95,-0.4,2.98,97.73,0
2009-07-01 22:00:00,22,2.47,-0.97,2.66,111.41,0.005
2009-07-01 23:00:00,23,1.84,-1.41,2.32,127.38,0.015
2009-07-02 00:00:00,24,1.21,-1.64,2.04,143.67,0
2009-07-02 01:00:00,1,0.68,-1.08,1.27,147.93,0
2009-07-02 02:00:00,2,0.45,-1.52,1.59,163.36,0.01
2009-07-02 03:00:00,3,0.12,-1.46,1.46,175.48,0.01
2009-07-02 04:00:00,4,-0.27,-1.06,1.1,194.13,0
2009-07-02 05:00:00,5,-0.56,-0.59,0.81,223.94,0
2009-07-02 06:00:00,6,-0.63,-0.27,0.68,246.61,0
2009-07-02 07:00:00,7,-0.38,-0.3,0.49,231.76,0
2009-07-02 08:00:00,8,-0.04,-0.57,0.57,184.5,0
2009-07-02 09:00:00,9,0.11,-0.87,0.88,172.7,0.015
2009-07-02 10:00:00,10,-0.1,-1.08,1.08,185.05,0.03
2009-07-02 11:00:00,11,-0.44,-1.2,1.28,199.95,0.01
2009-07-02 12:00:00,12,-0.58,-1.32,1.44,203.82,0
2009-07-02 13:00:00,13,-0.3,-1.48,1.51,191.55,0
2009-07-02 14:00:00,14,0.25,-1.65,1.67,171.57,0
2009-07-02 15:00:00,15,0.8,-1.81,1.98,156.21,0
2009-07-02 16:00:00,16,1.17,-1.94,2.26,148.97,0.01
