date,hors,u,v,ws,wd,wf7
2009-07-01 00:00:00,1,3.14,-3.62,4.79,139.09,0.051
2009-07-01 01:00:00,1,3.14,-3.62,4.79,139.09,0.051
2009-07-01 02:00:00,2,2.96,-3.56,4.63,140.26,0
2009-07-01 03:00:00,3,2.89,-3.46,4.51,140.15,0
2009-07-01 04:00:00,4,2.87,-3.33,4.4,139.26,0
2009-07-01 05:00:00,5,2.8,-3.19,4.25,138.73,0
2009-07-01 06:00:00,6,2.57,-3.07,4,140,0
2009-07-01 07:00:00,7,2.14,-2.97,3.66,144.27,0.025
2009-07-01 08:00:00,8,1.67,-2.86,3.32,149.72,0
2009-07-01 09:00:00,9,1.43,-2.7,3.06,152.18,0
2009-07-01 10:00:00,10,1.56,-2.46,2.91,147.59,0
2009-07-01 11:00:00,11,1.89,-2.13,2.85,138.5,0
2009-07-01 12:00:00,12,2.15,-1.77,2.78,129.44,0
2009-07-01 13:00:00,13,2.16,-1.4,2.58,122.82,0
2009-07-01 14:00:00,14,2.06,-1.05,2.31,117.08,0
2009-07-01 15:00:00,15,2.04,-0.78,2.19,110.9,0
2009-07-01 16:00:00,16,2.24,-0.61,2.33,105.3,0
2009-07-01 17:00:00,17,2.47,-0.57,2.53,102.94,0
2009-07-01 18:00:00,18,2.44,-0.65,2.52,104.82,0
2009-07-01 19:00:00,19,1.97,-0.84,2.15,113.07,0
2009-07-01 20:00:00,20,1.29,-1.09,1.69,130.19,0
2009-07-01 21:00:00,21,0.7,-1.32,1.49,152.01,0
2009-07-01 22:00:00,22,0.43,-1.46,1.52,163.55,0
2009-07-01 23:00:00,23,0.37,-1.51,1.56,166.09,0
2009-07-02 00:00:00,24,0.34,-1.49,1.52,167.14,0
2009-07-02 01:00:00,1,0.32,-1.13,1.18,164.02,0
2009-07-02 02:00:00,2,-0.04,-0.91,0.91,182.25,0
2009-07-02 03:00:00,3,-0.09,-0.6,0.61,188.3,0
2009-07-02 04:00:00,4,0.06,-0.27,0.28,167.07,0
2009-07-02 05:00:00,5,0.27,-0.02,0.27,93.85,0
2009-07-02 06:00:00,6,0.39,0.04,0.39,83.91,0
2009-07-02 07:00:00,7,0.3,-0.15,0.34,116.49,0
2009-07-02 08:00:00,8,0.09,-0.45,0.46,169.02,0
2009-07-02 09:00:00,9,-0.15,-0.66,0.68,192.96,0
2009-07-02 10:00:00,10,-0.31,-0.66,0.74,205.3,0
2009-07-02 11:00:00,11,-0.31,-0.61,0.69,207.14,0
2009-07-02 12:00:00,12,-0.07,-0.73,0.73,185.46,0
2009-07-02 13:00:00,13,0.45,-1.17,1.26,158.93,0
2009-07-02 14:00:00,14,1.13,-1.81,2.13,147.99,0
2009-07-02 15:00:00,15,1.8,-2.41,3,143.3,0
2009-07-02 16:00:00,16,2.32,-2.81,3.64,140.54,0
2009-07-02 17:00:00,17,2.67,-3.04,4.05,138.68,0.025
2009-07-02 18:00:00,18,2.87,-3.15,4.26,137.66,0
2009-07-02 19:00:00,19,2.92,-3.2,4.34,137.62,0.025
2009-07-02 20:00:00,20,2.83,-3.22,4.29,138.67,0.076
2009-07-02 21:00:00,21,2.6,-3.21,4.13,141.01,0.076
2009-07-02 22:00:00,22,2.24,-3.17,3.88,144.78,0
2009-07-02 23:00:00,23,1.85,-3.07,3.59,149.01,0
2009-07-03 00:00:00,24,1.53,-2.87,3.25,151.97,0
2009-07-03 01:00:00,1,2.39,-1.92,3.06,128.81,0
2009-07-03 02:00:00,2,2.53,-1.73,3.07,124.34,0
2009-07-03 03:00:00,3,3,-2.14,3.68,125.48,0
2009-07-03 04:00:00,4,3.66,-2.93,4.69,128.64,0
2009-07-03 05:00:00,5,4.35,-3.8,5.78,131.16,0
2009-07-03 06:00:00,6,4.89,-4.45,6.61,132.29,0.354
2009-07-03 07:00:00,7,5.15,-4.64,6.93,132.05,0.682
2009-07-03 08:00:00,8,5.18,-4.56,6.9,131.35,0.429
2009-07-03 09:00:00,9,5.07,-4.45,6.75,131.26,0.303
2009-07-03 10:00:00,10,4.92,-4.53,6.68,132.63,0.227
