date,hors,u,v,ws,wd,wf3
2009-07-01 00:00:00,1,3.51,-2.43,4.27,124.75,0.257
2009-07-01 01:00:00,1,3.51,-2.43,4.27,124.75,0.257
2009-07-01 02:00:00,2,2.96,-2.12,3.65,125.63,0.178
2009-07-01 03:00:00,3,2.47,-2.02,3.19,129.29,0.109
2009-07-01 04:00:00,4,2.05,-2.06,2.9,135.14,0.079
2009-07-01 05:00:00,5,1.72,-2.11,2.72,140.85,0.099
2009-07-01 06:00:00,6,1.53,-2.07,2.57,143.52,0.069
2009-07-01 07:00:00,7,1.49,-1.86,2.38,141.17,0
2009-07-01 08:00:00,8,1.55,-1.62,2.24,136.2,0
2009-07-01 09:00:00,9,1.63,-1.55,2.25,133.67,0
2009-07-01 10:00:00,10,1.65,-1.78,2.43,137.08,0
2009-07-01 11:00:00,11,1.63,-2.1,2.66,142.1,0
2009-07-01 12:00:00,12,1.58,-2.24,2.74,144.79,0
2009-07-01 13:00:00,13,1.51,-1.99,2.49,142.77,0
2009-07-01 14:00:00,14,1.49,-1.44,2.07,134.12,0
2009-07-01 15:00:00,15,1.59,-0.78,1.77,116.04,0
2009-07-01 16:00:00,16,1.85,-0.14,1.85,94.41,0
2009-07-01 17:00:00,17,2.21,0.32,2.24,81.68,0
2009-07-01 18:00:00,18,2.59,0.5,2.63,79.09,0
2009-07-01 19:00:00,19,2.88,0.31,2.89,83.82,0
2009-07-01 20:00:00,20,2.96,-0.1,2.96,91.97,0
2009-07-01 21:00:00,21,2.71,-0.55,2.77,101.48,0
2009-07-01 22:00:00,22,2.09,-0.87,2.26,112.7,0
2009-07-01 23:00:00,23,1.41,-1.02,1.74,125.93,0
2009-07-02 00:00:00,24,1.06,-0.96,1.43,132.08,0
2009-07-02 01:00:00,1,1.01,-1.73,2.01,149.66,0.01
2009-07-02 02:00:00,2,0.72,-1.6,1.76,155.87,0.02
2009-07-02 03:00:00,3,0.52,-1.36,1.46,158.95,0.02
2009-07-02 04:00:00,4,0.44,-1.08,1.16,158.03,0
2009-07-02 05:00:00,5,0.48,-0.86,0.98,150.93,0
2009-07-02 06:00:00,6,0.68,-0.81,1.06,139.94,0
2009-07-02 07:00:00,7,1.05,-1,1.45,133.68,0
2009-07-02 08:00:00,8,1.46,-1.34,1.98,132.36,0
2009-07-02 09:00:00,9,1.8,-1.69,2.47,133.13,0.02
2009-07-02 10:00:00,10,1.95,-1.95,2.76,135.11,0.049
2009-07-02 11:00:00,11,1.92,-2.19,2.91,138.64,0.04
2009-07-02 12:00:00,12,1.79,-2.47,3.05,144.07,0.059
2009-07-02 13:00:00,13,1.61,-2.84,3.26,150.45,0.079
2009-07-02 14:00:00,14,1.51,-3.12,3.47,154.13,0.079
2009-07-02 15:00:00,15,1.66,-3.11,3.53,151.96,0.099
2009-07-02 16:00:00,16,2.14,-2.68,3.43,141.44,0.099
2009-07-02 17:00:00,17,2.86,-2.05,3.52,125.72,0.099
2009-07-02 18:00:00,18,3.66,-1.54,3.97,112.79,0.099
2009-07-02 19:00:00,19,4.4,-1.38,4.61,107.48,0.178
2009-07-02 20:00:00,20,4.93,-1.61,5.19,108.1,0.247
2009-07-02 21:00:00,21,5.14,-2.18,5.58,112.99,0.178
2009-07-02 22:00:00,22,4.92,-2.99,5.76,121.25,0.237
