date,hors,u,v,ws,wd,wf5
2009-07-01 00:00:00,1,-0.99,2.75,2.93,340.24,0.066
2009-07-01 01:00:00,1,-0.99,2.75,2.93,340.24,0.066
2009-07-01 02:00:00,2,-1.25,2.54,2.83,333.88,0.015
2009-07-01 03:00:00,3,-1.35,2.59,2.92,332.41,0.01
2009-07-01 04:00:00,4,-1.33,2.8,3.1,334.53,0.01
2009-07-01 05:00:00,5,-1.22,3.09,3.32,338.51,0.015
2009-07-01 06:00:00,6,-1.02,3.34,3.49,343.08,0.015
2009-07-01 07:00:00,7,-0.77,3.49,3.57,347.56,0.025
2009-07-01 08:00:00,8,-0.55,3.54,3.58,351.12,0.046
2009-07-01 09:00:00,9,-0.46,3.56,3.59,352.58,0.081
2009-07-01 10:00:00,10,-0.53,3.58,3.62,351.58,0.101
2009-07-01 11:00:00,11,-0.53,3.66,3.7,351.75,0.111
2009-07-01 12:00:00,12,-0.18,3.82,3.83,357.34,0.121
2009-07-01 13:00:00,13,0.69,4.09,4.14,9.64,0.111
2009-07-01 14:00:00,14,1.77,4.32,4.67,22.32,0.137
2009-07-01 15:00:00,15,2.63,4.36,5.09,31.07,0.106
2009-07-01 16:00:00,16,2.93,4.11,5.05,35.51,0.086
2009-07-01 17:00:00,17,2.8,3.71,4.65,37.01,0.056
2009-07-01 18:00:00,18,2.43,3.36,4.15,35.93,0.03
2009-07-01 19:00:00,19,2.04,3.2,3.8,32.49,0.02
2009-07-01 20:00:00,20,1.72,3.15,3.59,28.56,0
2009-07-01 21:00:00,21,1.55,3.07,3.44,26.75,0.005
2009-07-01 22:00:00,22,1.58,2.86,3.27,28.82,0.005
2009-07-01 23:00:00,23,1.64,2.57,3.05,32.48,0.01
2009-07-02 00:00:00,24,1.54,2.3,2.76,33.77,0
2009-07-02 01:00:00,1,-0.17,2.3,2.31,355.84,0
2009-07-02 02:00:00,2,-0.53,2.06,2.12,345.42,0
2009-07-02 03:00:00,3,-0.59,1.54,1.65,338.96,0
2009-07-02 04:00:00,4,-0.47,0.86,0.98,331.16,0
2009-07-02 05:00:00,5,-0.41,0.15,0.43,290.72,0.02
2009-07-02 06:00:00,6,-0.62,-0.47,0.78,233.16,0.015
2009-07-02 07:00:00,7,-1.27,-0.88,1.55,235.08,0.005
2009-07-02 08:00:00,8,-2.07,-1.02,2.3,243.73,0
2009-07-02 09:00:00,9,-2.65,-0.8,2.76,253.15,0
2009-07-02 10:00:00,10,-2.72,-0.21,2.73,265.49,0
2009-07-02 11:00:00,11,-2.33,0.54,2.39,283.06,0
2009-07-02 12:00:00,12,-1.59,1.2,2,307.07,0
2009-07-02 13:00:00,13,-0.68,1.58,1.72,336.84,0
2009-07-02 14:00:00,14,0.13,1.72,1.72,4.47,0
2009-07-02 15:00:00,15,0.52,1.72,1.79,16.79,0
2009-07-02 16:00:00,16,0.28,1.66,1.68,9.47,0
2009-07-02 17:00:00,17,-0.29,1.53,1.55,349.18,0
2009-07-02 18:00:00,18,-0.76,1.27,1.49,329.02,0.005
2009-07-02 19:00:00,19,-0.82,0.9,1.21,317.46,0
2009-07-02 20:00:00,20,-0.54,0.52,0.75,313.93,0
2009-07-02 21:00:00,21,-0.09,0.31,0.32,343.39,0
2009-07-02 22:00:00,22,0.37,0.36,0.52,45.8,0
2009-07-02 23:00:00,23,0.83,0.52,0.98,57.79,0.005
2009-07-03 00:00:00,24,1.27,0.56,1.39,66.29,0
2009-07-03 01:00:00,1,2.21,0.92,2.39,67.34,0.005
2009-07-03 02:00:00,2,2.53,0.92,2.69,69.98,0.005
2009-07-03 03:00:00,3,2.84,0.96,3,71.33,0.02
2009-07-03 04:00:00,4,3.13,0.99,3.28,72.35,0.015
2009-07-03 05:00:00,5,3.33,0.94,3.46,74.23,0.035
2009-07-03 06:00:00,6,3.39,0.7,3.47,78.34,0.046
2009-07-03 07:00:00,7,3.3,0.23,3.31,85.98,0.03
2009-07-03 08:00:00,8,3.2,-0.29,3.21,95.18,0.03
2009-07-03 09:00:00,9,3.31,-0.63,3.37,100.86,0.046
2009-07-03 10:00:00,10,3.75,-0.63,3.8,99.61,0.071
2009-07-03 11:00:00,11,4.31,-0.37,4.33,94.96,0.071
2009-07-03 12:00:00,12,4.72,0,4.72,90,0.091
2009-07-03 13:00:00,13,4.79,0.36,4.8,85.72,0.121
2009-07-03 14:00:00,14,4.71,0.64,4.75,82.27,0.126
2009-07-03 15:00:00,15,4.78,0.8,4.84,80.53,0.066
2009-07-03 16:00:00,16,5.19,0.79,5.25,81.31,0.106
2009-07-03 17:00:00,17,5.72,0.62,5.75,83.84,0.157
2009-07-03 18:00:00,18,6.06,0.27,6.07,87.47,0.238
2009-07-03 19:00:00,19,5.97,-0.23,5.97,92.18,0.334
2009-07-03 20:00:00,20,5.56,-0.7,5.6,97.22,0.258
2009-07-03 21:00:00,21,5.02,-0.97,5.11,100.91,0.334
2009-07-03 22:00:00,22,4.53,-0.89,4.62,101.15,0.399
2009-07-03 23:00:00,23,4.2,-0.64,4.24,98.71,0.056
2009-07-04 00:00:00,24,4.11,-0.45,4.14,96.25,0.081
2009-07-04 01:00:00,1,5.83,-0.11,5.83,91.11,0.091
2009-07-04 02:00:00,2,6.1,-0.68,6.13,96.39,0.283
2009-07-04 03:00:00,3,6.11,-0.93,6.18,98.62,0.253
2009-07-04 04:00:00,4,5.95,-0.94,6.02,98.95,0.278
2009-07-04 05:00:00,5,5.72,-0.8,5.77,97.95,0.349
2009-07-04 06:00:00,6,5.51,-0.59,5.54,96.07,0.278
2009-07-04 07:00:00,7,5.42,-0.4,5.43,94.19,0.283
2009-07-04 08:00:00,8,5.39,-0.41,5.4,94.31,0.298
2009-07-04 09:00:00,9,5.36,-0.81,5.42,98.55,0.222
2009-07-04 10:00:00,10,5.28,-1.69,5.54,107.73,0.228
2009-07-04 11:00:00,11,5.19,-2.72,5.86,117.67,0.248
2009-07-04 12:00:00,12,5.17,-3.48,6.24,123.95,0.359
2009-07-04 13:00:00,13,5.27,-3.65,6.41,124.7,0.45
2009-07-04 14:00:00,14,5.46,-3.36,6.41,121.59,0.344
2009-07-04 15:00:00,15,5.72,-2.87,6.41,116.66,0.339
2009-07-04 16:00:00,16,6,-2.43,6.48,112.06,0.177
2009-07-04 17:00:00,17,6.18,-2.21,6.56,109.71,0.177
2009-07-04 18:00:00,18,6.13,-2.39,6.57,111.29,0.217
2009-07-04 19:00:00,19,5.73,-2.99,6.46,117.54,0.207
2009-07-04 20:00:00,20,4.94,-3.52,6.07,125.49,0.349
2009-07-04 21:00:00,21,3.73,-3.37,5.03,132.09,0.238
2009-07-04 22:00:00,22,2.19,-2.14,3.06,134.41,0.131
2009-07-04 23:00:00,23,0.89,-0.41,0.98,114.75,0.066
2009-07-05 00:00:00,24,0.55,1.01,1.15,28.46,0.015
2009-07-05 01:00:00,1,4.42,0.52,4.45,83.35,0.015
2009-07-05 02:00:00,2,5.37,0.51,5.39,84.58,0.025
2009-07-05 03:00:00,3,5.56,0.07,5.56,89.28,0.091
2009-07-05 04:00:00,4,5.22,-0.62,5.25,96.75,0.238
2009-07-05 05:00:00,5,4.65,-1.29,4.83,105.56,0.258
2009-07-05 06:00:00,6,4.17,-1.68,4.5,111.98,0.243
2009-07-05 07:00:00,7,4.02,-1.6,4.33,111.75,0.217
2009-07-05 08:00:00,8,4.05,-1.24,4.24,107.01,0.177
2009-07-05 09:00:00,9,4.06,-0.88,4.15,102.2,0.147
2009-07-05 10:00:00,10,3.87,-0.71,3.93,100.42,0.111
2009-07-05 11:00:00,11,3.53,-0.58,3.58,99.37,0.086
2009-07-05 12:00:00,12,3.15,-0.24,3.16,94.43,0.051
2009-07-05 13:00:00,13,2.81,0.48,2.85,80.37,0.01
2009-07-05 14:00:00,14,2.59,1.46,2.98,60.6,0
2009-07-05 15:00:00,15,2.54,2.51,3.57,45.25,0.02
2009-07-05 16:00:00,16,2.66,3.46,4.37,37.58,0.086
2009-07-05 17:00:00,17,2.89,4.22,5.12,34.42,0.157
2009-07-05 18:00:00,18,3.11,4.73,5.66,33.33,0.172
2009-07-05 19:00:00,19,3.22,4.95,5.9,33.05,0.243
2009-07-05 20:00:00,20,3.19,4.93,5.87,32.92,0.238
2009-07-05 21:00:00,21,3.01,4.75,5.62,32.39,0.248
2009-07-05 22:00:00,22,2.7,4.47,5.22,31.16,0.278
2009-07-05 23:00:00,23,2.41,4.11,4.76,30.34,0.167
2009-07-06 00:00:00,24,2.3,3.68,4.34,32.02,0.111
2009-07-06 01:00:00,1,1.2,4.07,4.25,16.4,0.126
2009-07-06 02:00:00,2,1.3,3.61,3.83,19.79,0.096
2009-07-06 03:00:00,3,1.61,3.27,3.65,26.21,0.056
2009-07-06 04:00:00,4,2.02,3.04,3.65,33.63,0.03
2009-07-06 05:00:00,5,2.31,2.81,3.63,39.44,0.015
2009-07-06 06:00:00,6,2.23,2.47,3.33,42.11,0.01
2009-07-06 07:00:00,7,1.67,1.98,2.59,40.05,0.01
2009-07-06 08:00:00,8,0.99,1.59,1.88,31.82,0.02
2009-07-06 09:00:00,9,0.7,1.63,1.77,23.32,0
2009-07-06 10:00:00,10,1.13,2.25,2.51,26.74,0.02
2009-07-06 11:00:00,11,1.95,3.05,3.62,32.53,0.005
2009-07-06 12:00:00,12,2.65,3.5,4.39,37.12,0.035
2009-07-06 13:00:00,13,2.88,3.21,4.31,41.92,0.046
2009-07-06 14:00:00,14,2.85,2.46,3.76,49.26,0.015
2009-07-06 15:00:00,15,2.92,1.69,3.38,59.87,0.005
2009-07-06 16:00:00,16,3.34,1.29,3.58,68.92,0.03
2009-07-06 17:00:00,17,3.94,1.26,4.14,72.28,0.01
2009-07-06 18:00:00,18,4.48,1.57,4.75,70.74,0.015
2009-07-06 19:00:00,19,4.74,2.12,5.19,65.88,0.051
2009-07-06 20:00:00,20,4.66,2.73,5.4,59.65,0.056
2009-07-06 21:00:00,21,4.23,3.15,5.27,53.34,0.086
2009-07-06 22:00:00,22,3.5,3.21,4.75,47.5,0.081
2009-07-06 23:00:00,23,2.73,2.94,4.01,42.91,0.051
2009-07-07 00:00:00,24,2.22,2.41,3.28,42.65,0.025
2009-07-07 01:00:00,1,1.56,0.77,1.74,63.6,0.051
2009-07-07 02:00:00,2,0.73,1.29,1.48,29.28,0.035
2009-07-07 03:00:00,3,0.41,1.92,1.96,12.03,0.03
2009-07-07 04:00:00,4,0.47,2.52,2.56,10.53,0.005
2009-07-07 05:00:00,5,0.71,2.85,2.94,13.97,0.005
2009-07-07 06:00:00,6,0.93,2.69,2.84,19.13,0
2009-07-07 07:00:00,7,0.99,1.87,2.12,27.88,0
2009-07-07 08:00:00,8,0.99,0.71,1.22,54.45,0
2009-07-07 09:00:00,9,1.09,-0.41,1.16,110.81,0
2009-07-07 10:00:00,10,1.4,-1.16,1.82,129.69,0
2009-07-07 11:00:00,11,1.88,-1.54,2.43,129.38,0
2009-07-07 12:00:00,12,2.4,-1.61,2.89,123.86,0.04
2009-07-07 13:00:00,13,2.89,-1.42,3.22,116.16,0.04
2009-07-07 14:00:00,14,3.34,-0.9,3.46,105.14,0.03
2009-07-07 15:00:00,15,3.76,0.02,3.76,89.63,0
2009-07-07 16:00:00,16,4.18,1.35,4.39,72.07,0.005
2009-07-07 17:00:00,17,4.53,2.67,5.26,59.48,0.091
2009-07-07 18:00:00,18,4.78,3.48,5.92,53.96,0.308
2009-07-07 19:00:00,19,4.88,3.43,5.96,54.91,0.329
2009-07-07 20:00:00,20,4.78,2.82,5.55,59.48,0.071
2009-07-07 21:00:00,21,4.45,2.11,4.93,64.63,0.061
2009-07-07 22:00:00,22,3.89,1.68,4.24,66.72,0.091
2009-07-07 23:00:00,23,3.27,1.51,3.6,65.15,0.147
2009-07-08 00:00:00,24,2.78,1.54,3.18,61.05,0.096
2009-07-08 01:00:00,1,3.11,1.63,3.52,62.3,0.116
2009-07-08 02:00:00,2,3,1.59,3.39,62.01,0.116
2009-07-08 03:00:00,3,3.07,1.42,3.39,65.14,0.076
2009-07-08 04:00:00,4,3.27,1.17,3.47,70.36,0.061
2009-07-08 05:00:00,5,3.48,0.86,3.59,76.16,0.086
2009-07-08 06:00:00,6,3.63,0.54,3.67,81.47,0.066
2009-07-08 07:00:00,7,3.62,0.26,3.63,85.89,0.061
2009-07-08 08:00:00,8,3.46,0.02,3.46,89.7,0.04
2009-07-08 09:00:00,9,3.17,-0.18,3.17,93.21,0.051
2009-07-08 10:00:00,10,2.77,-0.32,2.79,96.55,0.035
2009-07-08 11:00:00,11,2.39,-0.38,2.42,99.08,0.025
2009-07-08 12:00:00,12,2.13,-0.34,2.15,99.04,0.01
2009-07-08 13:00:00,13,2.08,-0.18,2.09,95.04,0
2009-07-08 14:00:00,14,2.14,0.01,2.14,89.64,0
2009-07-08 15:00:00,15,2.19,0.16,2.19,85.79,0
2009-07-08 16:00:00,16,2.1,0.18,2.11,85.07,0
2009-07-08 17:00:00,17,1.94,0.05,1.94,88.5,0.02
2009-07-08 18:00:00,18,1.79,-0.24,1.81,97.69,0.015
2009-07-08 19:00:00,19,1.71,-0.68,1.84,111.63,0.025
2009-07-08 20:00:00,20,1.66,-1.12,2,123.95,0.025
2009-07-08 21:00:00,21,1.58,-1.39,2.11,131.38,0.01
2009-07-08 22:00:00,22,1.42,-1.4,1.99,134.57,0
2009-07-08 23:00:00,23,1.16,-1.28,1.73,137.9,0
2009-07-09 00:00:00,24,0.8,-1.26,1.49,147.73,0
2009-07-09 01:00:00,1,0.08,-1.34,1.34,176.52,0
2009-07-09 02:00:00,2,-0.91,-1.97,2.17,204.69,0
2009-07-09 03:00:00,3,-1.74,-2.32,2.9,216.88,0
