date,hors,u,v,ws,wd,wf4
2009-07-01 00:00:00,1,3.15,-2.15,3.81,124.27,0.105
2009-07-01 01:00:00,1,3.15,-2.15,3.81,124.27,0.105
2009-07-01 02:00:00,2,3.15,-1.9,3.68,121.07,0.033
2009-07-01 03:00:00,3,3.15,-1.85,3.66,120.49,0.022
2009-07-01 04:00:00,4,3.15,-1.94,3.7,121.62,0.039
2009-07-01 05:00:00,5,3.12,-2.04,3.72,123.22,0.066
2009-07-01 06:00:00,6,3.03,-2.05,3.66,124.11,0.105
2009-07-01 07:00:00,7,2.88,-1.89,3.45,123.27,0.017
2009-07-01 08:00:00,8,2.77,-1.61,3.2,120.18,0.017
2009-07-01 09:00:00,9,2.8,-1.29,3.09,114.74,0.006
2009-07-01 10:00:00,10,3.05,-1.01,3.21,108.32,0
2009-07-01 11:00:00,11,3.35,-0.8,3.44,103.38,0
2009-07-01 12:00:00,12,3.49,-0.68,3.55,100.95,0
2009-07-01 13:00:00,13,3.34,-0.65,3.4,101.04,0
2009-07-01 14:00:00,14,3.09,-0.66,3.16,102.01,0
2009-07-01 15:00:00,15,3.02,-0.61,3.08,101.43,0
2009-07-01 16:00:00,16,3.29,-0.45,3.32,97.83,0
2009-07-01 17:00:00,17,3.69,-0.25,3.7,93.91,0
2009-07-01 18:00:00,18,3.92,-0.11,3.93,91.61,0
2009-07-01 19:00:00,19,3.76,-0.11,3.76,91.63,0.017
2009-07-01 20:00:00,20,3.26,-0.26,3.27,94.49,0.05
2009-07-01 21:00:00,21,2.58,-0.55,2.64,102.12,0.033
2009-07-01 22:00:00,22,1.85,-0.97,2.09,117.54,0.044
2009-07-01 23:00:00,23,1.13,-1.32,1.74,139.44,0
2009-07-02 00:00:00,24,0.47,-1.43,1.5,161.75,0
2009-07-02 01:00:00,1,0.27,-1.36,1.39,168.73,0
2009-07-02 02:00:00,2,-0.12,-1.33,1.33,185.11,0
2009-07-02 03:00:00,3,-0.19,-1.25,1.27,188.54,0
2009-07-02 04:00:00,4,-0.06,-1.15,1.15,182.96,0
2009-07-02 05:00:00,5,0.09,-1.04,1.04,175.2,0
2009-07-02 06:00:00,6,0.06,-0.93,0.93,176.46,0
2009-07-02 07:00:00,7,-0.27,-0.83,0.88,198.07,0
2009-07-02 08:00:00,8,-0.74,-0.75,1.06,224.51,0
2009-07-02 09:00:00,9,-1.11,-0.68,1.3,238.75,0
2009-07-02 10:00:00,10,-1.21,-0.61,1.35,243.28,0
2009-07-02 11:00:00,11,-1.02,-0.6,1.19,239.6,0
2009-07-02 12:00:00,12,-0.61,-0.72,0.94,220.41,0
2009-07-02 13:00:00,13,-0.02,-1,1,180.96,0
2009-07-02 14:00:00,14,0.7,-1.4,1.57,153.57,0
2009-07-02 15:00:00,15,1.47,-1.87,2.38,141.8,0
2009-07-02 16:00:00,16,2.24,-2.34,3.24,136.22,0.039
2009-07-02 17:00:00,17,2.9,-2.74,3.99,133.37,0.05
2009-07-02 18:00:00,18,3.36,-3.03,4.53,132.04,0.055
2009-07-02 19:00:00,19,3.54,-3.16,4.74,131.75,0.105
2009-07-02 20:00:00,20,3.48,-3.16,4.7,132.22,0.088
2009-07-02 21:00:00,21,3.26,-3.08,4.48,133.38,0.066
2009-07-02 22:00:00,22,2.94,-2.95,4.17,135.08,0.011
2009-07-02 23:00:00,23,2.59,-2.71,3.76,136.29,0
2009-07-03 00:00:00,24,2.27,-2.29,3.23,135.23,0
2009-07-03 01:00:00,1,2.95,-1.41,3.27,115.47,0
2009-07-03 02:00:00,2,3.01,-0.87,3.13,106.2,0
2009-07-03 03:00:00,3,3.28,-0.96,3.42,106.32,0
2009-07-03 04:00:00,4,3.68,-1.46,3.96,111.59,0
2009-07-03 05:00:00,5,4.1,-2.06,4.59,116.72,0.039
2009-07-03 06:00:00,6,4.41,-2.45,5.04,119.09,0.072
2009-07-03 07:00:00,7,4.52,-2.41,5.12,118.09,0.143
2009-07-03 08:00:00,8,4.5,-2.21,5.01,116.17,0.154
2009-07-03 09:00:00,9,4.44,-2.23,4.97,116.65,0.072
2009-07-03 10:00:00,10,4.42,-2.73,5.19,121.68,0.171
2009-07-03 11:00:00,11,4.42,-3.49,5.63,128.3,0.176
2009-07-03 12:00:00,12,4.39,-4.18,6.06,133.55,0.094
2009-07-03 13:00:00,13,4.34,-4.53,6.27,136.27,0.055
2009-07-03 14:00:00,14,4.34,-4.6,6.32,136.67,0.066
2009-07-03 15:00:00,15,4.52,-4.5,6.38,134.85,0.105
2009-07-03 16:00:00,16,4.96,-4.35,6.59,131.27,0.347
2009-07-03 17:00:00,17,5.47,-4.23,6.92,127.75,0.573
2009-07-03 18:00:00,18,5.83,-4.23,7.2,125.94,0.441
2009-07-03 19:00:00,19,5.88,-4.37,7.33,126.64,0.347
2009-07-03 20:00:00,20,5.67,-4.56,7.28,128.78,0.518
2009-07-03 21:00:00,21,5.34,-4.64,7.08,131,0.468
2009-07-03 22:00:00,22,4.99,-4.53,6.74,132.24,0.452
2009-07-03 23:00:00,23,4.65,-4.29,6.33,132.7,0.364
2009-07-04 00:00:00,24,4.35,-4.05,5.94,133,0.187
