date,hors,u,v,ws,wd,wf2
2009-07-01 00:00:00,1,3.32,-1.93,3.84,120.2,0.249
2009-07-01 01:00:00,1,3.32,-1.93,3.84,120.2,0.249
2009-07-01 02:00:00,2,2.88,-1.78,3.39,121.76,0.175
2009-07-01 03:00:00,3,2.46,-1.71,2.99,124.85,0.085
2009-07-01 04:00:00,4,2.07,-1.68,2.67,129.09,0.032
2009-07-01 05:00:00,5,1.77,-1.65,2.42,132.96,0.011
2009-07-01 06:00:00,6,1.61,-1.55,2.24,134.05,0
2009-07-01 07:00:00,7,1.6,-1.37,2.11,130.46,0.011
2009-07-01 08:00:00,8,1.71,-1.19,2.08,124.72,0.016
2009-07-01 09:00:00,9,1.84,-1.12,2.16,121.38,0
2009-07-01 10:00:00,10,1.94,-1.27,2.32,123.11,0.005
2009-07-01 11:00:00,11,2.01,-1.53,2.53,127.29,0.021
2009-07-01 12:00:00,12,2.07,-1.8,2.74,131,0.021
2009-07-01 13:00:00,13,2.13,-1.96,2.9,132.73,0.026
2009-07-01 14:00:00,14,2.24,-2.07,3.05,132.76,0.021
2009-07-01 15:00:00,15,2.45,-2.17,3.27,131.58,0.016
2009-07-01 16:00:00,16,2.77,-2.31,3.61,129.84,0.021
2009-07-01 17:00:00,17,3.13,-2.49,4,128.47,0.016
2009-07-01 18:00:00,18,3.4,-2.66,4.32,128.08,0.032
2009-07-01 19:00:00,19,3.5,-2.81,4.49,128.8,0.037
2009-07-01 20:00:00,20,3.48,-2.9,4.53,129.8,0.048
2009-07-01 21:00:00,21,3.44,-2.89,4.49,130.08,0.058
2009-07-01 22:00:00,22,3.41,-2.75,4.38,128.88,0.09
2009-07-01 23:00:00,23,3.33,-2.47,4.14,126.57,0.127
2009-07-02 00:00:00,24,3.08,-2.05,3.7,123.63,0.164
2009-07-02 01:00:00,1,2.64,-1.2,2.91,114.46,0.138
2009-07-02 02:00:00,2,2.59,-1,2.78,110.98,0.116
2009-07-02 03:00:00,3,2.51,-0.91,2.67,109.87,0.079
2009-07-02 04:00:00,4,2.39,-0.89,2.55,110.5,0.074
2009-07-02 05:00:00,5,2.23,-0.88,2.39,111.52,0.063
2009-07-02 06:00:00,6,2.02,-0.78,2.16,111.14,0.074
2009-07-02 07:00:00,7,1.76,-0.55,1.84,107.46,0.058
2009-07-02 08:00:00,8,1.48,-0.3,1.52,101.54,0.053
2009-07-02 09:00:00,9,1.25,-0.18,1.26,98.11,0.058
2009-07-02 10:00:00,10,1.09,-0.27,1.13,103.99,0.053
2009-07-02 11:00:00,11,1.03,-0.48,1.13,115.14,0.101
2009-07-02 12:00:00,12,1.05,-0.65,1.23,121.73,0.074
2009-07-02 13:00:00,13,1.18,-0.68,1.36,119.98,0.058
2009-07-02 14:00:00,14,1.45,-0.71,1.62,116.12,0.085
2009-07-02 15:00:00,15,1.94,-0.95,2.16,116.19,0.085
2009-07-02 16:00:00,16,2.65,-1.53,3.06,119.98,0.116
2009-07-02 17:00:00,17,3.45,-2.26,4.12,123.31,0.143
2009-07-02 18:00:00,18,4.16,-2.92,5.08,125.07,0.175
2009-07-02 19:00:00,19,4.65,-3.3,5.7,125.42,0.175
2009-07-02 20:00:00,20,4.91,-3.45,6,125.06,0.201
2009-07-02 21:00:00,21,4.99,-3.44,6.06,124.54,0.222
2009-07-02 22:00:00,22,4.92,-3.34,5.95,124.21,0.291
2009-07-02 23:00:00,23,4.7,-3.2,5.69,124.28,0.444
2009-07-03 00:00:00,24,4.33,-3.03,5.29,125,0.386
2009-07-03 01:00:00,1,3.99,-3.39,5.23,130.32,0.397
2009-07-03 02:00:00,2,3.69,-3.27,4.93,131.51,0.296
2009-07-03 03:00:00,3,3.42,-2.99,4.54,131.16,0.259
2009-07-03 04:00:00,4,3.17,-2.61,4.11,129.47,0.206
2009-07-03 05:00:00,5,2.96,-2.23,3.71,127.02,0.122
2009-07-03 06:00:00,6,2.78,-1.94,3.39,124.91,0.101
2009-07-03 07:00:00,7,2.64,-1.8,3.2,124.34,0.106
2009-07-03 08:00:00,8,2.54,-1.77,3.1,124.82,0.138
2009-07-03 09:00:00,9,2.5,-1.76,3.06,125.05,0.069
2009-07-03 10:00:00,10,2.53,-1.71,3.06,124.06,0.053
2009-07-03 11:00:00,11,2.67,-1.7,3.17,122.54,0.085
2009-07-03 12:00:00,12,2.96,-1.83,3.48,121.66,0.069
2009-07-03 13:00:00,13,3.43,-2.15,4.05,122.04,0.106
2009-07-03 14:00:00,14,3.98,-2.59,4.75,123.06,0.143
2009-07-03 15:00:00,15,4.49,-3.05,5.43,124.2,0.127
